mountain_name,district,신고년월일,신고년,신고월,신고일,신고요일,신고시각,신고시,신고분,발생장소_시,발생장소_구,발생장소_동,발생장소_리,현장과의거리,관할구분코드명,사고원인코드명_사고종별,x_4326,y_4326,elevation,slope,STN,WD,WS,GST,GST.1,GST.2,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN.1,RN.2,RN.3,SD,SD.1,SD.2,WC,WP,WW,CA,CA.1,CH,CT,CT.1,CT.2,CT.3,VS,SS,SI,ST,TS,TE,TE.1,TE.2,TE.3,ST.1,WH,BF,IR,IX
계룡산,대전,7/5/2020,2020,7,5,일,오후 2:50:00,14,50,대전광역시,유성구,덕명동,덕명동,10,관할,기타산악,127.2814234,36.33950163,245,220,239,18,0.6,-9,-9,-9,993.7,1004.3,-9,-9,25.3,17.7,63,20.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,9,7,19,-,-9,-9,-9,2219,0,-9,-9,30.8,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,6/27/2020,2020,6,27,토,오후 1:40:00,13,40,대전광역시,유성구,계산동,계산동,9,관할,일반조난,127.2876396,36.34425068,182.5,135,239,14,1.7,-9,-9,-9,994.8,1005.3,-9,-9,27.4,16.3,51,18.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,0,-9,-,-9,-9,-9,1727,0.9,-9,-9,40.7,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/25/2020,2020,10,25,일,오후 12:45:00,12,45,대전광역시,유성구,계산동,계산동,11,관할,기타산악,127.2874563,36.3329999,257.5,225,239,32,2,-9,-9,-9,1010.1,1020.7,7,-1.7,16.3,5.2,48,8.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,3,0,-9,-,-9,-9,-9,1976,1,-9,-9,26.4,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/26/2020,2020,10,26,월,오전 10:08:00,10,8,대전광역시,유성구,계산동,계산동,13,관할,실족추락,127.2861546,36.33568066,257.5,225,239,7,0.9,-9,-9,-9,1011,1021.8,-9,-9,11.6,5.6,67,9.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1824,1,-9,-9,16.2,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/10/2020,2020,10,10,토,오전 10:52:00,10,52,대전광역시,유성구,계산동,계산동,10,관할,기타산악,127.2924919,36.34451264,146.4814815,100,239,9,0.9,-9,-9,-9,1010.2,1021.4,-9,-9,16.3,8.9,62,11.4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1996,1,-9,-9,24,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/21/2020,2020,10,21,수,오후 1:57:00,13,57,대전광역시,유성구,갑동,갑동,12,관할,일반조난,127.2707,36.354,409.2391304,195,239,7,1,-9,-9,-9,1009,1020.2,-9,-9,15.4,8.1,62,10.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,10,1,-9,-,-9,-9,-9,2959,0,-9,-9,18.4,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,9/22/2020,2020,9,22,화,오전 10:54:00,10,54,대전광역시,유성구,지족동,지족동,13,관할,개인질환,127.2857567,36.38225665,265,190,239,9,1.8,-9,-9,-9,1009.2,1020.2,-9,-9,18.6,11.6,64,13.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,8,0,-9,-,-9,-9,-9,1725,0.5,-9,-9,22.3,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/8/2020,2020,10,8,목,오전 10:18:00,10,18,대전광역시,유성구,계산동,계산동,10,관할,실족추락,127.2920603,36.34379726,180,150,239,7,3,-9,-9,-9,1016.8,1027.9,-9,-9,18.1,8.6,54,11.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1807,1,-9,-9,23.8,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,6/12/2021,2021,6,12,토,오후 5:36:00,17,36,대전광역시,유성구,덕명동,덕명동,10,관할,실족추락,127.2821494,36.34003161,245,220,239,32,0.6,-9,-9,-9,999.4,1009.4,-9,-9,30.1,18.8,51,21.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,3,3,10,-,-9,-9,-9,3942,0.7,-9,-9,41.2,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/3/2020,2020,10,3,토,오후 2:40:00,14,40,대전광역시,유성구,덕명동,덕명동,11,관할,일반조난,127.2816026,36.33975917,245,220,239,5,1.6,-9,-9,-9,1003.4,1014.3,-9,-9,21.5,16.6,74,18.9,-9,5.9,5.9,-9,-9,-9,-9,-9,-9,-,8,4,4,-,-9,-9,-9,2167,0.5,-9,-9,28.5,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,10/1/2021,2021,10,1,금,오후 3:29:00,15,29,대전광역시,유성구,갑동,갑동,15,관할,일반조난,127.2709219,36.35385463,409.2391304,195,239,29,0.7,-9,-9,-9,996.8,1006.9,7,-1.9,27,16.2,52,18.4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2133,1,-9,-9,40.2,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,2/14/2021,2021,2,14,일,오후 5:40:00,17,40,대전광역시,유성구,덕명동,덕명동,18,관할,일반조난,127.2904414,36.34729102,185,150,239,32,1.4,-9,-9,-9,1001.4,1012,-9,-9,13.4,0.3,41,6.2,-9,0.2,0.2,-9,-9,-9,-9,-9,-9,-,10,10,11,-,-9,-9,-9,3708,0,-9,-9,9.6,-99,-99,-99,-99,-9,-9,-9,3,-9
계룡산,대전,2/6/2021,2021,2,6,토,오후 4:42:00,16,42,대전광역시,유성구,덕명동,덕명동,11,관할,일반조난,127.28193,36.34870372,372.7777778,300,239,16,2.1,-9,-9,-9,1004.5,1015.3,-9,-9,9.5,3.6,67,7.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,7,7,5,-,-9,-9,-9,798,0.8,-9,-9,11.7,-99,-99,-99,-99,-9,-9,-9,3,-9
